SOURCE_FILE,OACI,CIAD,NAME,MUNICIPIO,UF,ALT_M,OPERAÇÃO,OP_DIURNA,OP_NOTURNA,LAT_DD,LON_DD,N_RWYS,RUNWAY1_D_NM,RUNWAY2_D_NM,RUNWAY3_D_NM,RUNWAY1_LEN_M,RUNWAY2_LEN_M,RUNWAY3_LEN_M,RUNWAY1_WID_M,RUNWAY2_WID_M,RUNWAY3_WID_M,DATASET_TYPE
2025_08_22_BR_aerodromes_public,SSNP,RS0041,ILMO ALOÍSIO BLUME,NOVA PRATA,RS,698.0,VFR Diurno,,,-28.80388888888889,-51.602222222222224,1,130.0,,,965.0,,,18.0,,,heliport
2025_08_22_BR_aerodromes_public,SSMT,RS0044,MOSTARDAS,MOSTARDAS,RS,18.0,VFR Diurno,,,-31.101111111111113,-50.908055555555556,1,50.0,,,975.0,,,18.0,,,heliport
2025_08_22_BR_aerodromes_public,SSOE,SC0015,HÉLIO WASUM,SÃO MIGUEL DO OESTE,SC,665.0,VFR Diurno/Noturno,,,-26.78111111111111,-53.50333333333333,1,170.0,,,1260.0,,,18.0,,,heliport
2025_08_22_BR_aerodromes_public,SSNQ,MS0016,NIOAQUE,NIOAQUE,MS,202.0,VFR Diurno,,,-21.184444444444445,-55.83111111111111,1,180.0,,,1200.0,,,18.0,,,heliport
2025_08_22_BR_aerodromes_public,SSOI,SP0043,PEDERNEIRAS,PEDERNEIRAS,SP,536.0,VFR Diurno,,,-22.307222222222222,-48.77305555555555,1,160.0,,,1165.0,,,20.0,,,heliport
2025_08_22_BR_aerodromes_public,SSOL,MG0027,PADRE ISRAEL (ISRAEL BATISTA DE CARVALHO),LAVRAS,MG,959.0,VFR Diurno/Noturno,,,-21.240555555555556,-44.96416666666667,1,50.0,,,1500.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SSOS,RS0042,OSÓRIO,OSÓRIO,RS,17.0,VFR Diurno,,,-29.90222222222222,-50.24916666666667,1,110.0,,,950.0,,,25.0,,,heliport
2025_08_22_BR_aerodromes_public,SBPO,PR0018,AEROPORTO REGIONAL DE PATO BRANCO - PROFESSOR JUVENAL LOUREIRO CARDOSO,PATO BRANCO,PR,823.0,VFR Diurno/Noturno e IFR Diurno/Noturno,,,-26.21722222222222,-52.69444444444444,1,70.0,,,1621.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SSPG,PR0011,SANTOS DUMONT,PARANAGUÁ,PR,11.0,VFR Diurno,,,-25.540277777777778,-48.53111111111111,1,60.0,,,1458.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SSOG,PR0027,ARAPONGAS,ARAPONGAS,PR,794.0,VFR Diurno/Noturno,,,-23.352777777777778,-51.49166666666667,1,160.0,,,1200.0,,,23.0,,,heliport
2025_08_22_BR_aerodromes_public,SSPL,RS0043,PALMEIRA DAS MISSÕES,PALMEIRA DAS MISSÕES,RS,613.0,VFR Diurno,,,-27.901666666666664,-53.330000000000005,1,50.0,,,1160.0,,,18.0,,,heliport
2025_08_22_BR_aerodromes_public,SSPM,MS0013,PORTO MURTINHO,PORTO MURTINHO,MS,132.0,VFR Diurno,,,-21.712777777777777,-57.87916666666667,1,180.0,,,1600.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SSPI,PR0010,EDU CHAVES,PARANAVAÍ,PR,474.0,VFR Diurno,,,-23.09,-52.48861111111111,1,130.0,,,1500.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SSPS,PR0036,DIMORVAN CARRARO,PALMAS,PR,1100.0,VFR Diurno,,,-26.47222222222222,-51.97555555555556,1,30.0,,,1050.0,,,23.0,,,heliport
2025_08_22_BR_aerodromes_public,SSPT,PR0028,BRASÍLIO MARQUES,PALOTINA,PR,373.0,VFR Diurno,,,-24.343333333333334,-53.828611111111115,1,30.0,,,1100.0,,,18.0,,,heliport
2025_08_22_BR_aerodromes_public,SSPN,MS0010,PARANAÍBA,PARANAÍBA,MS,442.0,VFR Diurno,,,-19.65111111111111,-51.19944444444444,1,140.0,,,1320.0,,,23.0,,,heliport
2025_08_22_BR_aerodromes_public,SSQP,BA0061,MONTE SANTO,MONTE SANTO,BA,442.0,VFR Diurno,,,-10.465277777777777,-39.28611111111111,1,170.0,,,1000.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SSQT,PR0013,CASTRO,CASTRO,PR,1010.0,VFR Diurno,,,-24.8075,-49.95944444444445,1,60.0,,,1400.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SSRE,PR0030,REALEZA,REALEZA,PR,501.0,VFR Diurno,,,-25.801111111111112,-53.51305555555555,1,60.0,,,1200.0,,,18.0,,,heliport
2025_08_22_BR_aerodromes_public,SSRF,BA0034,CASTRO ALVES,CASTRO ALVES,BA,261.0,VFR Diurno,,,-12.767777777777779,-39.44472222222222,1,130.0,,,1200.0,,,21.0,,,heliport
2025_08_22_BR_aerodromes_public,SSRG,SP0030,AEROPORTO ESTADUAL DE REGISTRO,REGISTRO,SP,25.0,VFR Diurno,,,-24.531666666666666,-47.84027777777778,1,110.0,,,1500.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SSRS,MA0008,BARREIRINHAS,BARREIRINHAS,MA,12.0,VFR Diurno,,,-2.756666666666667,-42.80333333333333,1,110.0,,,1500.0,,,30.0,,,heliport
2025_08_22_BR_aerodromes_public,SSRU,RS0034,SÃO LOURENÇO DO SUL,SÃO LOURENÇO DO SUL,RS,27.0,VFR Diurno,,,-31.384722222222223,-52.0325,1,30.0,,,1055.0,,,18.0,,,heliport
2025_08_22_BR_aerodromes_public,SSRZ,RS0024,DÁRIO BRASIL CAPOANO DE OLIVEIRA,ROSÁRIO DO SUL,RS,102.0,VFR Diurno,,,-30.2775,-54.92527777777777,1,100.0,,,1000.0,,,20.0,,,heliport
2025_08_22_BR_aerodromes_public,SSQC,PR0029,SIQUEIRA CAMPOS,SIQUEIRA CAMPOS,PR,705.0,VFR Diurno,,,-23.674722222222222,-49.815555555555555,1,100.0,,,1200.0,,,23.0,,,heliport
2025_08_22_BR_aerodromes_public,SSSC,RS0029,SANTA CRUZ DO SUL,SANTA CRUZ DO SUL,RS,199.0,VFR Diurno,,,-29.684166666666666,-52.41222222222222,1,80.0,,,1180.0,,,18.0,,,heliport
2025_08_22_BR_aerodromes_public,SSSD,RS0017,SOLEDADE,SOLEDADE,RS,673.0,VFR Diurno,,,-28.863333333333333,-52.54055555555556,1,170.0,,,1199.0,,,23.0,,,heliport
2025_08_22_BR_aerodromes_public,SSSG,RS0035,SÃO GABRIEL,SÃO GABRIEL,RS,145.0,VFR Diurno,,,-30.345,-54.26777777777777,1,40.0,,,1000.0,,,42.0,,,heliport
